"","GISJOIN","FIPS","ADI_NATRANK","ADI_STATERNK"
"1","G04000109426001","040019426001","100","10"
"2","G04000109426002","040019426002","100","10"
"3","G04000109427001","040019427001","98","10"
"4","G04000109427002","040019427002","100","10"
"5","G04000109427003","040019427003","98","10"
"6","G04000109427004","040019427004","100","10"
"7","G04000109440001","040019440001","99","10"
"8","G04000109440002","040019440002","99","10"
"9","G04000109440003","040019440003","99","10"
"10","G04000109441001","040019441001","100","10"
"11","G04000109441002","040019441002","100","10"
"12","G04000109441003","040019441003","100","10"
"13","G04000109441004","040019441004","100","10"
"14","G04000109441005","040019441005","100","10"
"15","G04000109442011","040019442011","100","10"
"16","G04000109442012","040019442012","100","10"
"17","G04000109442021","040019442021","100","10"
"18","G04000109442022","040019442022","100","10"
"19","G04000109442023","040019442023","100","10"
"20","G04000109443011","040019443011","100","10"
"21","G04000109443012","040019443012","100","10"
"22","G04000109443013","040019443013","100","10"
"23","G04000109443021","040019443021","100","10"
"24","G04000109443022","040019443022","100","10"
"25","G04000109449011","040019449011","100","10"
"26","G04000109449012","040019449012","100","10"
"27","G04000109449013","040019449013","100","10"
"28","G04000109449014","040019449014","100","10"
"29","G04000109449021","040019449021","100","10"
"30","G04000109449022","040019449022","100","10"
"31","G04000109449023","040019449023","100","10"
"32","G04000109449024","040019449024","100","10"
"33","G04000109450011","040019450011","95","10"
"34","G04000109450012","040019450012","88","10"
"35","G04000109450013","040019450013","99","10"
"36","G04000109450014","040019450014","93","10"
"37","G04000109450021","040019450021","100","10"
"38","G04000109450022","040019450022","100","10"
"39","G04000109450023","040019450023","100","10"
"40","G04000109451001","040019451001","98","10"
"41","G04000109451002","040019451002","98","10"
"42","G04000109702011","040019702011","73","9"
"43","G04000109702012","040019702012","50","7"
"44","G04000109702021","040019702021","93","10"
"45","G04000109702022","040019702022","98","10"
"46","G04000109702023","040019702023","97","10"
"47","G04000109703001","040019703001","72","9"
"48","G04000109703002","040019703002","72","9"
"49","G04000109703003","040019703003","72","9"
"50","G04000109705011","040019705011","61","8"
"51","G04000109705012","040019705012","46","6"
"52","G04000109705013","040019705013","74","9"
"53","G04000109705014","040019705014","65","8"
"54","G04000109705021","040019705021","54","7"
"55","G04000109705022","040019705022","51","7"
"56","G04000109705023","040019705023","58","8"
"57","G04000300001011","040030001011","97","10"
"58","G04000300001021","040030001021","95","10"
"59","G04000300002011","040030002011","77","9"
"60","G04000300002012","040030002012","77","9"
"61","G04000300002021","040030002021","88","10"
"62","G04000300002022","040030002022","93","10"
"63","G04000300002023","040030002023","89","10"
"64","G04000300002024","040030002024","86","10"
"65","G04000300002031","040030002031","51","7"
"66","G04000300002032","040030002032","69","9"
"67","G04000300002033","040030002033","81","9"
"68","G04000300003011","040030003011","89","10"
"69","G04000300003012","040030003012","84","10"
"70","G04000300003013","040030003013","87","10"
"71","G04000300003014","040030003014","95","10"
"72","G04000300003031","040030003031","72","9"
"73","G04000300003032","040030003032","68","9"
"74","G04000300003033","040030003033","81","9"
"75","G04000300003041","040030003041","53","7"
"76","G04000300003042","040030003042","87","10"
"77","G04000300003051","040030003051","59","8"
"78","G04000300003052","040030003052","59","8"
"79","G04000300003053","040030003053","59","8"
"80","G04000300004001","040030004001","72","9"
"81","G04000300004002","040030004002","79","9"
"82","G04000300005011","040030005011","69","9"
"83","G04000300005012","040030005012","78","9"
"84","G04000300005021","040030005021","87","10"
"85","G04000300005031","040030005031","GQ","GQ"
"86","G04000300006001","040030006001","91","10"
"87","G04000300006002","040030006002","93","10"
"88","G04000300007001","040030007001","74","9"
"89","G04000300007002","040030007002","99","10"
"90","G04000300007003","040030007003","80","9"
"91","G04000300007004","040030007004","79","9"
"92","G04000300008001","040030008001","90","10"
"93","G04000300008002","040030008002","89","10"
"94","G04000300008003","040030008003","91","10"
"95","G04000300008004","040030008004","90","10"
"96","G04000300009011","040030009011","87","10"
"97","G04000300009012","040030009012","87","10"
"98","G04000300009013","040030009013","87","10"
"99","G04000300009014","040030009014","87","10"
"100","G04000300009021","040030009021","95","10"
"101","G04000300009022","040030009022","95","10"
"102","G04000300009023","040030009023","88","10"
"103","G04000300010001","040030010001","53","7"
"104","G04000300010002","040030010002","53","7"
"105","G04000300011001","040030011001","78","9"
"106","G04000300011002","040030011002","93","10"
"107","G04000300011003","040030011003","90","10"
"108","G04000300012001","040030012001","68","9"
"109","G04000300012002","040030012002","77","9"
"110","G04000300012003","040030012003","96","10"
"111","G04000300013011","040030013011","74","9"
"112","G04000300013012","040030013012","70","9"
"113","G04000300013021","040030013021","75","9"
"114","G04000300013022","040030013022","92","10"
"115","G04000300013023","040030013023","80","9"
"116","G04000300014011","040030014011","GQ","GQ"
"117","G04000300014012","040030014012","65","8"
"118","G04000300014013","040030014013","PH","PH"
"119","G04000300014021","040030014021","GQ","GQ"
"120","G04000300015011","040030015011","89","10"
"121","G04000300015012","040030015012","100","10"
"122","G04000300015013","040030015013","62","8"
"123","G04000300015021","040030015021","78","9"
"124","G04000300015022","040030015022","91","10"
"125","G04000300015023","040030015023","87","10"
"126","G04000300016011","040030016011","65","8"
"127","G04000300016012","040030016012","65","8"
"128","G04000300016013","040030016013","56","7"
"129","G04000300016021","040030016021","71","9"
"130","G04000300016022","040030016022","85","10"
"131","G04000300017011","040030017011","72","9"
"132","G04000300017012","040030017012","65","8"
"133","G04000300017013","040030017013","57","7"
"134","G04000300017014","040030017014","65","8"
"135","G04000300017021","040030017021","50","7"
"136","G04000300017022","040030017022","68","9"
"137","G04000300017023","040030017023","81","9"
"138","G04000300017031","040030017031","96","10"
"139","G04000300017032","040030017032","59","8"
"140","G04000300017033","040030017033","42","5"
"141","G04000300018011","040030018011","49","6"
"142","G04000300018012","040030018012","48","6"
"143","G04000300018013","040030018013","47","6"
"144","G04000300018014","040030018014","39","5"
"145","G04000300018021","040030018021","56","7"
"146","G04000300018022","040030018022","39","5"
"147","G04000300019001","040030019001","41","5"
"148","G04000300019002","040030019002","32","4"
"149","G04000300019003","040030019003","26","3"
"150","G04000300019004","040030019004","38","5"
"151","G04000300020011","040030020011","82","9"
"152","G04000300020012","040030020012","74","9"
"153","G04000300020013","040030020013","73","9"
"154","G04000300020014","040030020014","74","9"
"155","G04000300020021","040030020021","68","9"
"156","G04000300020022","040030020022","65","8"
"157","G04000300020023","040030020023","65","8"
"158","G04000300021001","040030021001","52","7"
"159","G04000300021002","040030021002","46","6"
"160","G04000300021003","040030021003","38","5"
"161","G04000300021004","040030021004","60","8"
"162","G04000500001001","040050001001","23","2"
"163","G04000500001002","040050001002","18","2"
"164","G04000500002001","040050002001","21","2"
"165","G04000500002002","040050002002","15","1"
"166","G04000500003011","040050003011","26","3"
"167","G04000500003012","040050003012","26","3"
"168","G04000500003013","040050003013","26","3"
"169","G04000500003021","040050003021","60","8"
"170","G04000500003022","040050003022","42","5"
"171","G04000500004001","040050004001","19","2"
"172","G04000500004002","040050004002","34","4"
"173","G04000500004003","040050004003","39","5"
"174","G04000500004004","040050004004","31","4"
"175","G04000500004005","040050004005","38","5"
"176","G04000500005001","040050005001","49","6"
"177","G04000500005002","040050005002","54","7"
"178","G04000500005003","040050005003","60","8"
"179","G04000500005004","040050005004","62","8"
"180","G04000500005005","040050005005","46","6"
"181","G04000500006011","040050006011","18","2"
"182","G04000500006012","040050006012","18","2"
"183","G04000500006021","040050006021","20","2"
"184","G04000500006022","040050006022","21","2"
"185","G04000500007001","040050007001","26","3"
"186","G04000500007002","040050007002","22","2"
"187","G04000500007003","040050007003","27","3"
"188","G04000500008001","040050008001","24","2"
"189","G04000500008002","040050008002","24","2"
"190","G04000500008003","040050008003","24","2"
"191","G04000500008004","040050008004","24","2"
"192","G04000500008005","040050008005","GQ","GQ"
"193","G04000500009011","040050009011","16","2"
"194","G04000500009012","040050009012","13","1"
"195","G04000500009021","040050009021","5","1"
"196","G04000500009022","040050009022","33","4"
"197","G04000500009023","040050009023","18","2"
"198","G04000500010001","040050010001","GQ","GQ"
"199","G04000500010002","040050010002","GQ","GQ"
"200","G04000500010003","040050010003","GQ","GQ"
"201","G04000500011011","040050011011","19","2"
"202","G04000500011012","040050011012","24","2"
"203","G04000500011013","040050011013","22","2"
"204","G04000500011031","040050011031","41","5"
"205","G04000500011032","040050011032","41","5"
"206","G04000500011033","040050011033","47","6"
"207","G04000500011041","040050011041","21","2"
"208","G04000500011042","040050011042","24","2"
"209","G04000500011043","040050011043","14","1"
"210","G04000500011044","040050011044","23","2"
"211","G04000500012011","040050012011","17","2"
"212","G04000500012012","040050012012","17","2"
"213","G04000500013011","040050013011","20","2"
"214","G04000500013012","040050013012","17","2"
"215","G04000500013013","040050013013","17","2"
"216","G04000500013021","040050013021","24","2"
"217","G04000500013022","040050013022","23","2"
"218","G04000500013023","040050013023","23","2"
"219","G04000500015001","040050015001","32","4"
"220","G04000500015002","040050015002","35","4"
"221","G04000500015003","040050015003","42","5"
"222","G04000500015004","040050015004","33","4"
"223","G04000500016011","040050016011","9","1"
"224","G04000500016012","040050016012","9","1"
"225","G04000500016021","040050016021","21","2"
"226","G04000500016022","040050016022","21","2"
"227","G04000500017001","040050017001","22","2"
"228","G04000500017002","040050017002","52","7"
"229","G04000500017003","040050017003","59","8"
"230","G04000500017004","040050017004","36","4"
"231","G04000500020001","040050020001","56","7"
"232","G04000500020002","040050020002","56","7"
"233","G04000500021011","040050021011","33","4"
"234","G04000500021012","040050021012","33","4"
"235","G04000500021013","040050021013","33","4"
"236","G04000500021014","040050021014","33","4"
"237","G04000500021021","040050021021","43","5"
"238","G04000500021022","040050021022","56","7"
"239","G04000500021023","040050021023","44","6"
"240","G04000500022011","040050022011","16","2"
"241","G04000500022012","040050022012","16","2"
"242","G04000500022013","040050022013","16","2"
"243","G04000500022014","040050022014","16","2"
"244","G04000500022021","040050022021","29","3"
"245","G04000500022022","040050022022","26","3"
"246","G04000500022023","040050022023","PH","PH"
"247","G04000500022024","040050022024","42","5"
"248","G04000500023011","040050023011","73","9"
"249","G04000500023012","040050023012","79","9"
"250","G04000500023013","040050023013","76","9"
"251","G04000500023021","040050023021","21","2"
"252","G04000500023022","040050023022","44","6"
"253","G04000500023023","040050023023","29","3"
"254","G04000509422011","040059422011","91","10"
"255","G04000509422012","040059422012","92","10"
"256","G04000509422013","040059422013","97","10"
"257","G04000509422021","040059422021","99","10"
"258","G04000509422022","040059422022","99","10"
"259","G04000509422023","040059422023","100","10"
"260","G04000509449001","040059449001","83","9"
"261","G04000509449002","040059449002","94","10"
"262","G04000509449003","040059449003","88","10"
"263","G04000509450001","040059450001","99","10"
"264","G04000509450002","040059450002","100","10"
"265","G04000509450003","040059450003","99","10"
"266","G04000509451001","040059451001","97","10"
"267","G04000509451002","040059451002","98","10"
"268","G04000509451003","040059451003","97","10"
"269","G04000509451004","040059451004","99","10"
"270","G04000509452001","040059452001","98","10"
"271","G04000509452002","040059452002","97","10"
"272","G04000509452003","040059452003","100","10"
"273","G04000509800001","040059800001","GQ-PH","GQ-PH"
"274","G04000509801001","040059801001","PH","PH"
"275","G04000509802001","040059802001","PH","PH"
"276","G04000700001001","040070001001","38","5"
"277","G04000700001002","040070001002","39","5"
"278","G04000700001003","040070001003","52","7"
"279","G04000700001004","040070001004","44","6"
"280","G04000700002001","040070002001","51","7"
"281","G04000700002002","040070002002","48","6"
"282","G04000700002003","040070002003","59","8"
"283","G04000700003011","040070003011","33","4"
"284","G04000700003012","040070003012","44","6"
"285","G04000700003013","040070003013","64","8"
"286","G04000700003021","040070003021","39","5"
"287","G04000700003022","040070003022","45","6"
"288","G04000700003023","040070003023","49","6"
"289","G04000700004001","040070004001","53","7"
"290","G04000700004002","040070004002","54","7"
"291","G04000700004003","040070004003","30","3"
"292","G04000700005001","040070005001","55","7"
"293","G04000700005002","040070005002","50","7"
"294","G04000700006001","040070006001","79","9"
"295","G04000700006002","040070006002","64","8"
"296","G04000700007001","040070007001","61","8"
"297","G04000700008001","040070008001","76","9"
"298","G04000700008002","040070008002","76","9"
"299","G04000700009001","040070009001","96","10"
"300","G04000700009002","040070009002","90","10"
"301","G04000700010001","040070010001","83","9"
"302","G04000700010002","040070010002","83","9"
"303","G04000700010003","040070010003","83","9"
"304","G04000700010004","040070010004","83","9"
"305","G04000700010005","040070010005","83","9"
"306","G04000700011001","040070011001","68","9"
"307","G04000700011002","040070011002","76","9"
"308","G04000700011003","040070011003","80","9"
"309","G04000700011004","040070011004","83","10"
"310","G04000700011005","040070011005","83","10"
"311","G04000700012001","040070012001","46","6"
"312","G04000700012002","040070012002","63","8"
"313","G04000700012003","040070012003","70","9"
"314","G04000700013001","040070013001","100","10"
"315","G04000700013002","040070013002","100","10"
"316","G04000709402001","040079402001","99","10"
"317","G04000709404001","040079404001","96","10"
"318","G04000709404002","040079404002","96","10"
"319","G04000709404003","040079404003","97","10"
"320","G04000709404004","040079404004","95","10"
"321","G04000909405001","040099405001","100","10"
"322","G04000909405002","040099405002","100","10"
"323","G04000909405003","040099405003","100","10"
"324","G04000909611001","040099611001","50","7"
"325","G04000909611002","040099611002","58","8"
"326","G04000909611003","040099611003","53","7"
"327","G04000909612011","040099612011","35","4"
"328","G04000909612012","040099612012","41","5"
"329","G04000909612013","040099612013","49","6"
"330","G04000909612021","040099612021","51","7"
"331","G04000909612022","040099612022","44","6"
"332","G04000909612023","040099612023","84","10"
"333","G04000909613001","040099613001","78","9"
"334","G04000909613002","040099613002","77","9"
"335","G04000909613003","040099613003","75","9"
"336","G04000909613004","040099613004","73","9"
"337","G04000909614001","040099614001","65","8"
"338","G04000909614002","040099614002","80","9"
"339","G04000909614003","040099614003","71","9"
"340","G04000909614004","040099614004","65","8"
"341","G04000909615001","040099615001","62","8"
"342","G04000909615002","040099615002","58","8"
"343","G04000909615003","040099615003","73","9"
"344","G04000909616001","040099616001","57","7"
"345","G04000909616002","040099616002","GQ-PH","GQ-PH"
"346","G04000909616003","040099616003","GQ-PH","GQ-PH"
"347","G04000909617001","040099617001","GQ","GQ"
"348","G04000909617002","040099617002","70","9"
"349","G04000909617003","040099617003","61","8"
"350","G04000909617004","040099617004","89","10"
"351","G04001109601001","040119601001","71","9"
"352","G04001109601002","040119601002","90","10"
"353","G04001109602001","040119602001","77","9"
"354","G04001109602002","040119602002","77","9"
"355","G04001109602003","040119602003","79","9"
"356","G04001109603001","040119603001","75","9"
"357","G04001109603002","040119603002","78","9"
"358","G04001109603003","040119603003","87","10"
"359","G04001200201011","040120201011","93","10"
"360","G04001200201012","040120201012","88","10"
"361","G04001200201021","040120201021","90","10"
"362","G04001200201022","040120201022","90","10"
"363","G04001200202011","040120202011","55","7"
"364","G04001200202012","040120202012","82","9"
"365","G04001200202013","040120202013","79","9"
"366","G04001200202021","040120202021","68","9"
"367","G04001200205011","040120205011","QDI","QDI"
"368","G04001200205012","040120205012","99","10"
"369","G04001200205013","040120205013","89","10"
"370","G04001200205014","040120205014","94","10"
"371","G04001200205031","040120205031","98","10"
"372","G04001200205032","040120205032","98","10"
"373","G04001200205033","040120205033","98","10"
"374","G04001200205041","040120205041","QDI","QDI"
"375","G04001200205042","040120205042","89","10"
"376","G04001200205051","040120205051","QDI","QDI"
"377","G04001200205052","040120205052","QDI","QDI"
"378","G04001200205053","040120205053","86","10"
"379","G04001200206021","040120206021","96","10"
"380","G04001200206022","040120206022","96","10"
"381","G04001209402001","040129402001","55","7"
"382","G04001209402002","040129402002","56","7"
"383","G04001209403001","040129403001","95","10"
"384","G04001209403002","040129403002","96","10"
"385","G04001209403003","040129403003","96","10"
"386","G04001209403004","040129403004","96","10"
"387","G04001209800001","040129800001","PH","PH"
"388","G04001300101021","040130101021","3","1"
"389","G04001300101022","040130101022","2","1"
"390","G04001300101023","040130101023","2","1"
"391","G04001300101031","040130101031","6","1"
"392","G04001300101032","040130101032","9","1"
"393","G04001300101041","040130101041","5","1"
"394","G04001300101042","040130101042","11","1"
"395","G04001300101043","040130101043","10","1"
"396","G04001300304011","040130304011","4","1"
"397","G04001300304012","040130304012","5","1"
"398","G04001300304013","040130304013","4","1"
"399","G04001300304021","040130304021","4","1"
"400","G04001300304022","040130304022","8","1"
"401","G04001300304023","040130304023","12","1"
"402","G04001300405021","040130405021","51","7"
"403","G04001300405022","040130405022","52","7"
"404","G04001300405023","040130405023","53","7"
"405","G04001300405024","040130405024","52","7"
"406","G04001300405025","040130405025","52","7"
"407","G04001300405061","040130405061","47","6"
"408","G04001300405062","040130405062","49","6"
"409","G04001300405063","040130405063","49","6"
"410","G04001300405064","040130405064","48","6"
"411","G04001300405071","040130405071","44","6"
"412","G04001300405072","040130405072","48","6"
"413","G04001300405073","040130405073","45","6"
"414","G04001300405074","040130405074","56","7"
"415","G04001300405075","040130405075","48","6"
"416","G04001300405121","040130405121","38","5"
"417","G04001300405131","040130405131","41","5"
"418","G04001300405132","040130405132","42","5"
"419","G04001300405141","040130405141","47","6"
"420","G04001300405142","040130405142","46","6"
"421","G04001300405151","040130405151","21","2"
"422","G04001300405152","040130405152","23","2"
"423","G04001300405161","040130405161","35","4"
"424","G04001300405162","040130405162","28","3"
"425","G04001300405163","040130405163","32","4"
"426","G04001300405164","040130405164","21","2"
"427","G04001300405165","040130405165","41","5"
"428","G04001300405221","040130405221","40","5"
"429","G04001300405222","040130405222","41","5"
"430","G04001300405223","040130405223","39","5"
"431","G04001300405231","040130405231","20","2"
"432","G04001300405232","040130405232","29","3"
"433","G04001300405241","040130405241","28","3"
"434","G04001300405251","040130405251","28","3"
"435","G04001300405252","040130405252","28","3"
"436","G04001300405261","040130405261","44","6"
"437","G04001300405262","040130405262","42","5"
"438","G04001300405271","040130405271","65","8"
"439","G04001300405272","040130405272","75","9"
"440","G04001300405273","040130405273","30","3"
"441","G04001300405281","040130405281","31","4"
"442","G04001300405282","040130405282","32","4"
"443","G04001300405283","040130405283","34","4"
"444","G04001300405284","040130405284","30","3"
"445","G04001300405285","040130405285","32","4"
"446","G04001300405286","040130405286","30","3"
"447","G04001300405291","040130405291","33","4"
"448","G04001300405292","040130405292","22","2"
"449","G04001300405293","040130405293","44","6"
"450","G04001300405301","040130405301","46","6"
"451","G04001300405302","040130405302","39","5"
"452","G04001300405311","040130405311","52","7"
"453","G04001300405312","040130405312","58","8"
"454","G04001300405313","040130405313","59","8"
"455","G04001300405314","040130405314","64","8"
"456","G04001300405321","040130405321","29","3"
"457","G04001300405322","040130405322","28","3"
"458","G04001300405323","040130405323","28","3"
"459","G04001300405331","040130405331","27","3"
"460","G04001300405341","040130405341","16","2"
"461","G04001300405342","040130405342","18","2"
"462","G04001300405351","040130405351","16","2"
"463","G04001300405352","040130405352","18","2"
"464","G04001300405353","040130405353","20","2"
"465","G04001300405354","040130405354","18","2"
"466","G04001300405361","040130405361","14","1"
"467","G04001300405362","040130405362","18","2"
"468","G04001300405371","040130405371","10","1"
"469","G04001300405381","040130405381","27","3"
"470","G04001300405382","040130405382","24","2"
"471","G04001300405383","040130405383","18","2"
"472","G04001300405391","040130405391","31","4"
"473","G04001300405392","040130405392","31","4"
"474","G04001300405393","040130405393","31","4"
"475","G04001300405394","040130405394","31","4"
"476","G04001300405395","040130405395","31","4"
"477","G04001300405396","040130405396","31","4"
"478","G04001300405401","040130405401","33","4"
"479","G04001300405402","040130405402","30","3"
"480","G04001300405403","040130405403","36","4"
"481","G04001300405411","040130405411","39","5"
"482","G04001300405412","040130405412","86","10"
"483","G04001300405413","040130405413","26","3"
"484","G04001300506031","040130506031","50","7"
"485","G04001300506032","040130506032","55","7"
"486","G04001300506033","040130506033","59","8"
"487","G04001300506034","040130506034","56","7"
"488","G04001300506041","040130506041","47","6"
"489","G04001300506042","040130506042","39","5"
"490","G04001300506091","040130506091","44","6"
"491","G04001300506092","040130506092","40","5"
"492","G04001300506093","040130506093","PH","PH"
"493","G04001300506094","040130506094","40","5"
"494","G04001300506111","040130506111","36","4"
"495","G04001300506112","040130506112","26","3"
"496","G04001300506113","040130506113","36","4"
"497","G04001300506114","040130506114","48","6"
"498","G04001300506115","040130506115","PH","PH"
"499","G04001300506121","040130506121","35","4"
"500","G04001300506122","040130506122","34","4"
"501","G04001300506123","040130506123","35","4"
"502","G04001300506131","040130506131","29","3"
"503","G04001300506132","040130506132","31","4"
"504","G04001300506133","040130506133","36","4"
"505","G04001300506141","040130506141","20","2"
"506","G04001300506142","040130506142","20","2"
"507","G04001300506143","040130506143","34","4"
"508","G04001300506151","040130506151","43","6"
"509","G04001300506152","040130506152","50","7"
"510","G04001300506161","040130506161","38","5"
"511","G04001300506162","040130506162","44","6"
"512","G04001300506171","040130506171","38","5"
"513","G04001300506172","040130506172","38","5"
"514","G04001300506173","040130506173","38","5"
"515","G04001300506174","040130506174","38","5"
"516","G04001300506181","040130506181","18","2"
"517","G04001300506182","040130506182","20","2"
"518","G04001300506191","040130506191","17","2"
"519","G04001300506192","040130506192","19","2"
"520","G04001300506193","040130506193","14","1"
"521","G04001300506194","040130506194","17","2"
"522","G04001300506201","040130506201","26","3"
"523","G04001300506202","040130506202","18","2"
"524","G04001300506203","040130506203","24","2"
"525","G04001300506211","040130506211","PH","PH"
"526","G04001300506212","040130506212","PH","PH"
"527","G04001300506213","040130506213","35","4"
"528","G04001300506214","040130506214","45","6"
"529","G04001300506215","040130506215","30","3"
"530","G04001300507011","040130507011","55","7"
"531","G04001300507012","040130507012","44","6"
"532","G04001300507013","040130507013","44","6"
"533","G04001300507021","040130507021","47","6"
"534","G04001300507022","040130507022","46","6"
"535","G04001300507023","040130507023","43","6"
"536","G04001300507024","040130507024","48","6"
"537","G04001300608011","040130608011","87","10"
"538","G04001300608012","040130608012","87","10"
"539","G04001300608013","040130608013","87","10"
"540","G04001300608014","040130608014","87","10"
"541","G04001300608015","040130608015","87","10"
"542","G04001300608021","040130608021","51","7"
"543","G04001300608022","040130608022","44","6"
"544","G04001300609011","040130609011","88","10"
"545","G04001300609012","040130609012","40","5"
"546","G04001300609013","040130609013","47","6"
"547","G04001300609021","040130609021","50","7"
"548","G04001300609022","040130609022","59","8"
"549","G04001300609023","040130609023","85","10"
"550","G04001300609031","040130609031","41","5"
"551","G04001300609032","040130609032","41","5"
"552","G04001300609033","040130609033","52","7"
"553","G04001300609034","040130609034","44","6"
"554","G04001300609041","040130609041","72","9"
"555","G04001300609042","040130609042","48","6"
"556","G04001300609043","040130609043","51","7"
"557","G04001300610101","040130610101","29","3"
"558","G04001300610102","040130610102","12","1"
"559","G04001300610103","040130610103","21","2"
"560","G04001300610111","040130610111","24","2"
"561","G04001300610112","040130610112","38","5"
"562","G04001300610113","040130610113","26","3"
"563","G04001300610131","040130610131","29","3"
"564","G04001300610132","040130610132","25","3"
"565","G04001300610141","040130610141","38","5"
"566","G04001300610142","040130610142","43","6"
"567","G04001300610143","040130610143","44","6"
"568","G04001300610151","040130610151","40","5"
"569","G04001300610152","040130610152","37","4"
"570","G04001300610153","040130610153","33","4"
"571","G04001300610171","040130610171","GQ-PH","GQ-PH"
"572","G04001300610181","040130610181","22","2"
"573","G04001300610182","040130610182","28","3"
"574","G04001300610183","040130610183","32","4"
"575","G04001300610201","040130610201","19","2"
"576","G04001300610202","040130610202","30","3"
"577","G04001300610203","040130610203","19","2"
"578","G04001300610211","040130610211","22","2"
"579","G04001300610241","040130610241","35","4"
"580","G04001300610261","040130610261","36","4"
"581","G04001300610262","040130610262","32","4"
"582","G04001300610263","040130610263","38","5"
"583","G04001300610271","040130610271","41","5"
"584","G04001300610272","040130610272","41","5"
"585","G04001300610273","040130610273","40","5"
"586","G04001300610274","040130610274","39","5"
"587","G04001300610281","040130610281","37","5"
"588","G04001300610291","040130610291","43","6"
"589","G04001300610292","040130610292","44","6"
"590","G04001300610293","040130610293","41","5"
"591","G04001300610294","040130610294","39","5"
"592","G04001300610311","040130610311","PH","PH"
"593","G04001300610312","040130610312","25","3"
"594","G04001300610313","040130610313","25","3"
"595","G04001300610314","040130610314","25","3"
"596","G04001300610315","040130610315","25","3"
"597","G04001300610316","040130610316","PH","PH"
"598","G04001300610317","040130610317","25","3"
"599","G04001300610321","040130610321","35","4"
"600","G04001300610322","040130610322","37","5"
"601","G04001300610323","040130610323","35","4"
"602","G04001300610324","040130610324","39","5"
"603","G04001300610331","040130610331","43","6"
"604","G04001300610332","040130610332","38","5"
"605","G04001300610333","040130610333","41","5"
"606","G04001300610341","040130610341","29","3"
"607","G04001300610342","040130610342","27","3"
"608","G04001300610343","040130610343","32","4"
"609","G04001300610344","040130610344","29","3"
"610","G04001300610351","040130610351","33","4"
"611","G04001300610352","040130610352","36","4"
"612","G04001300610353","040130610353","32","4"
"613","G04001300610354","040130610354","39","5"
"614","G04001300610361","040130610361","19","2"
"615","G04001300610362","040130610362","24","2"
"616","G04001300610371","040130610371","25","3"
"617","G04001300610372","040130610372","27","3"
"618","G04001300610373","040130610373","26","3"
"619","G04001300610381","040130610381","31","4"
"620","G04001300610382","040130610382","34","4"
"621","G04001300610383","040130610383","34","4"
"622","G04001300610391","040130610391","23","2"
"623","G04001300610392","040130610392","8","1"
"624","G04001300610393","040130610393","23","2"
"625","G04001300610401","040130610401","44","6"
"626","G04001300610402","040130610402","44","6"
"627","G04001300610403","040130610403","44","6"
"628","G04001300610411","040130610411","51","7"
"629","G04001300610412","040130610412","50","7"
"630","G04001300610413","040130610413","47","6"
"631","G04001300610414","040130610414","45","6"
"632","G04001300610421","040130610421","55","7"
"633","G04001300610422","040130610422","88","10"
"634","G04001300610431","040130610431","54","7"
"635","G04001300610432","040130610432","26","3"
"636","G04001300610433","040130610433","26","3"
"637","G04001300610441","040130610441","29","3"
"638","G04001300610442","040130610442","33","4"
"639","G04001300610443","040130610443","30","3"
"640","G04001300610444","040130610444","31","4"
"641","G04001300610451","040130610451","14","1"
"642","G04001300610452","040130610452","18","2"
"643","G04001300610453","040130610453","12","1"
"644","G04001300610454","040130610454","18","2"
"645","G04001300610461","040130610461","56","7"
"646","G04001300610462","040130610462","62","8"
"647","G04001300610463","040130610463","45","6"
"648","G04001300610471","040130610471","23","2"
"649","G04001300610472","040130610472","12","1"
"650","G04001300610481","040130610481","26","3"
"651","G04001300610482","040130610482","34","4"
"652","G04001300610491","040130610491","31","4"
"653","G04001300610492","040130610492","36","4"
"654","G04001300610501","040130610501","33","4"
"655","G04001300610502","040130610502","37","5"
"656","G04001300610503","040130610503","32","4"
"657","G04001300610511","040130610511","29","3"
"658","G04001300610512","040130610512","28","3"
"659","G04001300610521","040130610521","37","5"
"660","G04001300610522","040130610522","38","5"
"661","G04001300610523","040130610523","40","5"
"662","G04001300610531","040130610531","41","5"
"663","G04001300610532","040130610532","28","3"
"664","G04001300610533","040130610533","40","5"
"665","G04001300610541","040130610541","11","1"
"666","G04001300610542","040130610542","15","1"
"667","G04001300610543","040130610543","28","3"
"668","G04001300610551","040130610551","23","2"
"669","G04001300610552","040130610552","17","2"
"670","G04001300610561","040130610561","16","2"
"671","G04001300610571","040130610571","40","5"
"672","G04001300610572","040130610572","40","5"
"673","G04001300610573","040130610573","40","5"
"674","G04001300610574","040130610574","40","5"
"675","G04001300610581","040130610581","38","5"
"676","G04001300610582","040130610582","32","4"
"677","G04001300610591","040130610591","21","2"
"678","G04001300610592","040130610592","23","2"
"679","G04001300610601","040130610601","32","4"
"680","G04001300610611","040130610611","33","4"
"681","G04001300610612","040130610612","34","4"
"682","G04001300610621","040130610621","26","3"
"683","G04001300610622","040130610622","29","3"
"684","G04001300610623","040130610623","30","3"
"685","G04001300610631","040130610631","62","8"
"686","G04001300610641","040130610641","18","2"
"687","G04001300611001","040130611001","GQ-PH","GQ-PH"
"688","G04001300611002","040130611002","35","4"
"689","G04001300611003","040130611003","35","4"
"690","G04001300612001","040130612001","70","9"
"691","G04001300612002","040130612002","76","9"
"692","G04001300612003","040130612003","73","9"
